,Cm7,Fm7,A#M7,C#M7,G#M7,AM,Bm,EM7,BM7,EM,DM,F#M7,Gm,C#m,BM,Em,GM,Cm,F#m,D#m,CM,Dm,GM7,G#M,D#M7,FM,CM7,AM7,Am,Fm,Em7,Bm7,F#m7,DM7,Am7,F#M,A#M,Gm7,G#m,A#m,D#M,C#M,Dm7,FM7,D#m7,A#m7,G#m7,C#m7
Cm7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fm7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A#M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G#M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.015306122448979591,0.37244897959183676,0.015306122448979591,0.12244897959183673,0.1683673469387755,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,0.00510204081632653,0.0,0.01020408163265306,0.0,0.00510204081632653,0.07653061224489796,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.025510204081632654,0.0,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bm,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.021739130434782608,0.0,0.0,0.391304347826087,0.0,0.0,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EM7,0.0,0.0,0.0,0.0,0.0,0.676829268292683,0.0,0.018292682926829267,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.23170731707317074,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.7215189873417721,0.0,0.0,0.012658227848101266,0.0,0.0,0.17721518987341772,0.0,0.056962025316455694,0.0,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0
EM,0.0,0.0,0.0,0.0,0.0,0.10576923076923077,0.0,0.038461538461538464,0.5144230769230769,0.03365384615384615,0.028846153846153848,0.019230769230769232,0.0,0.0,0.08173076923076923,0.004807692307692308,0.0,0.0,0.04326923076923077,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0673076923076923,0.004807692307692308,0.0,0.009615384615384616,0.02403846153846154,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308
DM,0.0,0.0,0.0,0.0,0.0,0.10097719869706841,0.006514657980456026,0.006514657980456026,0.0,0.003257328990228013,0.10097719869706841,0.0,0.04560260586319218,0.0,0.0,0.08469055374592833,0.2182410423452769,0.0,0.0,0.013029315960912053,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.0,0.0,0.006514657980456026,0.0,0.2736156351791531,0.003257328990228013,0.003257328990228013,0.026058631921824105,0.006514657980456026,0.0,0.05537459283387622,0.0,0.0,0.0,0.0,0.0,0.035830618892508145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F#M7,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm,0.0,0.0,0.0,0.0,0.0,0.04819277108433735,0.0,0.0,0.0,0.03614457831325301,0.060240963855421686,0.0,0.0,0.024096385542168676,0.0,0.0,0.024096385542168676,0.08433734939759036,0.0,0.0,0.1566265060240964,0.0,0.012048192771084338,0.0,0.0,0.1566265060240964,0.08433734939759036,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.26506024096385544,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM,0.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.0,0.12389380530973451,0.168141592920354,0.0,0.19469026548672566,0.0,0.05309734513274336,0.08849557522123894,0.22123893805309736,0.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.08849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0
Em,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.020202020202020204,0.04040404040404041,0.13131313131313133,0.0,0.24242424242424243,0.04040404040404041,0.0,0.0,0.24242424242424243,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.030303030303030304,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.030303030303030304,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0
GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20270270270270271,0.0,0.006756756756756757,0.0,0.0,0.04391891891891892,0.10472972972972973,0.07432432432432433,0.0,0.013513513513513514,0.12837837837837837,0.010135135135135136,0.033783783783783786,0.0,0.0,0.0,0.0,0.006756756756756757,0.08108108108108109,0.0,0.016891891891891893,0.0,0.0,0.25675675675675674,0.02027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cm,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.09523809523809523,0.0,0.0,0.0,0.23809523809523808,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.32142857142857145,0.023809523809523808,0.0,0.0,0.011904761904761904,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0
F#m,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D#m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
